HSNCode,CGSTRate,SGSTRate,IGSTRate
9012,9,9,18
9013,9,9,18
9014,9,9,18
9015,9,9,18
9016,9,9,18
9017,9,9,18
9022,9,9,18
9023,9,9,18
9024,9,9,18
9025,9,9,18
9026,9,9,18
9027,9,9,18
9028,9,9,18
9029,9,9,18
9030,9,9,18
9031,9,9,18
9032,9,9,18
9033,9,9,18
9101,9,9,18
9102,9,9,18
9103,9,9,18
9104,9,9,18
9105,9,9,18
9106,9,9,18
9107,9,9,18
9108,9,9,18
9109,9,9,18
9114,9,9,18
9110,9,9,18
9111,9,9,18
9112,9,9,18
9113,9,9,18
9201,9,9,18
9202,9,9,18
9205,9,9,18
9206 00 00,9,9,18
9207,9,9,18
9208,9,9,18
9209,9,9,18
9301,9,9,18
9303,9,9,18
9304,9,9,18
9305,9,9,18
9306,9,9,18
9307,9,9,18
9401,9,9,18
9402,9,9,18
9403,9,9,18
9404,9,9,18
9405,9,9,18
9406,9,9,18
9503,9,9,18
9504,9,9,18
9505,9,9,18
9506,9,9,18
9508,9,9,18
9602,9,9,18
9606 21 00,9,9,18
9606 22 00,9,9,18
9606 29,9,9,18
9606 30,9,9,18
9603,9,9,18
9604 00 00,9,9,18
9605,9,9,18
